Date,Employment num,Ethnicity,,Total by Year,,,,,,
Oct-Dec 2018,963.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jan-Mar 2019,956.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Apr-Jun 2019,976.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jul-Sep 2019,1087.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Oct-Dec 2019,1027.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jan-Mar 2020,1024.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Apr-Jun 2020,1009.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jul-Sep 2020,1062.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Oct-Dec 2020,967.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jan-Mar 2021,1015.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Apr-Jun 2021,1000.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jul-Sep 2021,1050.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Oct-Dec 2021,1042.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jan-Mar 2022,1045.00,Black/ African/ Caribbean/ Black British,,,,,,,,
Jan-Mar 2018,842.00,Other,,,,,,,,
Apr-Jun 2018,867.00,Other,,,,,,,,
Jul-Sep 2018,870.00,Other,,,,,,,,
Oct-Dec 2018,907.00,Other,,,,,,,,
Jan-Mar 2019,908.00,Other,,,,,,,,
Apr-Jun 2019,842.00,Other,,,,,,,,
Jul-Sep 2019,890.00,Other,,,,,,,,
Oct-Dec 2019,897.00,Other,,,,,,,,
Jan-Mar 2020,961.00,Other,,,,,,,,
Apr-Jun 2020,888.00,Other,,,,,,,,
Jul-Sep 2020,872.00,Other,,,,,,,,
Oct-Dec 2020,891.00,Other,,,,,,,,
Jan-Mar 2021,911.00,Other,,,,,,,,
Apr-Jun 2021,883.00,Other,,,,,,,,
Jul-Sep 2021,867.00,Other,,,,,,,,
Oct-Dec 2021,893.00,Other,,,,,,,,
Jan-Mar 2022,1022.00,Other,,,,,,,,
